col2018,col2019,col2021
anio,anio,anio
comuna,comuna,comuna
b1_1,b1_1,b1_1
b1_2,b1_2,b1_2
b1_3,b1_3,b1_3
b1_4,b1_4,b1_4
b2,b2,b2
b3,b3,b3
b4_1,b4_1,b4_1
b4_2,b4_2,b4_2
b4_3,b4_3,b4_3
b4_4,b4_4,b4_4
b4_5,b4_5,b4_5
b4_6,b4_6,b4_6
b4_7,b4_7,b4_7
b4_8,b4_8,b4_8
b4_9,b4_9,b4_9
b4_10,b4_10,b4_10
b4_11,b4_11,b4_11
b4_12,b4_12,b4_12
b5_1,b5_1,b5_1
b5_2,b5_2,b5_2
b5_3,b5_3,b5_3
b6_1,b6_1,b6_1
b6_2,b6_2,b6_2
b6_3,b6_3,b6_3
b7_1,b7_1,b7_1
b7_2,b7_2,b7_2
b7_3,b7_3,b7_3
b7_4,b7_4,b7_4
b7_5,b7_5,b7_5
b7_6,b7_6,b7_6
b8,b8,b8
b9_1,b9_1,b9_1
b9_2,b9_2,b9_2
b9_3,b9_3,b9_3
b9_4,b9_4,b9_4
b9_5,b9_5,b9_5
b9_99,b9_99,b9_99
b10_1,b10_1,b10_1
b10_2,b10_2,b10_2
b10_3,b10_3,b10_3
b10_4,b10_4,b10_4
b10_5,b10_5,b10_5
b10_6,b10_6,b10_6
b10_7,b10_7,b10_7
b10_8,b10_8,b10_8
b11_1,b11_1,b11_1
b11_2,b11_2,b11_2
b11_3,b11_3,b11_3
b11_4,b11_4,b11_4
b11_5,b11_5,b11_5
b11_6,b11_6,b11_6
b11_7,b11_7,b11_7
b11_8,b11_8,b11_8
b11_9,b11_9,b11_9
b11_10,b11_10,b11_10
b11_11,b11_11,b11_11
b11_12,b11_12,b11_12
b11_13,b11_13,b11_13
b11_14,b11_14,b11_14
b11_15,b11_15,b11_15
b11_16,b11_16,b11_16
b14,b14,b14
b15_1,b15_1,b15_1
b15_2,b15_2,b15_2
b15_3,b15_3,b15_3
b15_4,b15_4,b15_4
b15_5,b15_5,b15_5
b15_6,b15_6,b15_6
b15_7,b15_7,b15_7
b15_8,b15_8,b15_8
b16_0,b16_0,b16_0
b16_1,b16_1,b16_1
b16_2,b16_2,b16_2
b16_3,b16_3,b16_3
b16_4,b16_4,b16_4
b16_5,b16_5,b16_5
b16_6,b16_6,b16_6
b16_7,b16_7,b16_7
b16_8,b16_8,b16_8
b16_9,b16_9,b16_9
b16_10,b16_10,b16_10
b16_11,b16_11,b16_11
b16_12,b16_12,b16_12
b16_13,b16_13,b16_13
b16_14,b16_14,b16_14
b16_15,b16_15,b16_15
b17_1,b17_1,b17_1
b17_2,b17_2,b17_2
b17_3,b17_3,b17_3
b17_4,b17_4,b17_4
b17_5,b17_5,b17_5
b17_6,b17_6,b17_6
b17_7,b17_7,b17_7
b17_8,b17_8,b17_8
b17_9,b17_9,b17_9
b17_10,b17_10,b17_10
b17_11,b17_11,b17_11
b17_12,b17_12,b17_12
b17_13,b17_13,b17_13
b17_14,b17_14,b17_14
b17_15,b17_15,b17_15
b17_16,b17_16,b17_16
c1_1,c1_1,c1_1
c1_2,c1_2,c1_2
c1_3,c1_3,c1_3
c1_4,c1_4,c1_4
c1_5,c1_5,c1_5
c1_6,c1_6,c1_6
c1_7,c1_7,c1_7
c1_8,c1_8,c1_8
c2_1,c2_1,c2_1
c2_2,c2_2,c2_2
c2_3,c2_3,c2_3
c2_4,c2_4,c2_4
c3_1,c3_1,c3_1
c3_2,c3_2,c3_2
c3_3,c3_3,c3_3
c4_1,c4_1,c4_1
c4_2,c4_2,c4_2
c4_3,c4_3,c4_3
c4_4,c4_4,c4_4
c4_5,c4_5,c4_5
c4_6,c4_6,c4_6
c4_7,c4_7,c4_7
c4_8,c4_8,c4_8
c4_10,c4_10,c4_10
c4_99,c4_99,c4_99
c6_1,c6_1,c6_1
c6_2,c6_2,c6_2
c6_3,c6_3,c6_3
c6_4,c6_4,c6_4
c7_1,c7_1,c7_1
c7_2,c7_2,c7_2
c7_3,c7_3,c7_3
c7_4,c7_4,c7_4
c7_5,c7_5,c7_5
c7_6,c7_6,c7_6
c7_7,c7_7,c7_7
c7_8,c7_8,c7_8
c8,c8,c8
c9_1,c9_1,c9_1
c9_2,c9_2,c9_2
d1,d1,d1
d2_1,d2_1,d2_1
d2_2,d2_2,d2_2
d2_3,d2_3,d2_3
d2_4,d2_4,d2_4
d2_5,d2_5,d2_5
ponderad,ponderad,ponderad
