numero,C4_2,C4_9,C4_2_nueva
1,2,0,2
2,2,0,2
3,0,0,0
4,0,0,0
5,0,0,0
6,2,0,2
7,0,0,0
8,2,0,2
9,2,0,2
10,2,0,2
11,2,0,2
12,2,0,2
13,2,0,2
14,2,0,2
15,0,0,0
16,0,0,0
17,0,0,0
18,2,0,2
19,2,0,2
20,0,0,0
21,0,0,0
22,2,0,2
23,2,0,2
24,0,0,0
25,2,9,2
26,0,9,2
27,2,0,2
28,2,0,2
29,2,0,2
30,0,0,0
31,0,0,0
32,0,0,0
33,2,0,2
34,2,9,2
35,2,0,2
36,2,0,2
37,2,0,2
38,2,0,2
39,0,0,0
40,2,0,2
41,2,0,2
42,0,0,0
43,0,0,0
44,2,0,2
45,0,0,0
46,0,0,0
47,2,0,2
48,2,0,2
49,0,9,2
50,0,0,0
51,2,0,2
52,0,0,0
53,2,0,2
54,0,0,0
55,2,0,2
56,0,0,0
57,2,0,2
58,2,0,2
59,2,0,2
60,0,0,0
61,0,0,0
62,0,0,0
63,2,0,2
64,2,0,2
65,0,0,0
66,0,0,0
67,2,0,2
68,0,0,0
69,2,0,2
70,2,0,2
71,2,0,2
72,2,0,2
73,2,0,2
74,2,0,2
75,2,0,2
76,2,0,2
77,0,0,0
78,2,0,2
79,2,0,2
80,0,0,0
81,0,0,0
82,2,0,2
83,0,0,0
84,2,0,2
85,0,0,0
86,0,0,0
87,2,0,2
88,2,0,2
89,0,0,0
90,2,0,2
91,2,0,2
92,0,0,0
93,2,0,2
94,2,0,2
95,0,0,0
96,2,0,2
97,2,0,2
98,0,0,0
99,2,0,2
100,0,0,0
101,0,0,0
102,2,0,2
103,2,0,2
104,0,0,0
105,0,0,0
106,2,0,2
107,2,0,2
108,2,0,2
109,2,0,2
110,2,0,2
111,2,0,2
112,2,0,2
113,2,0,2
114,2,0,2
115,2,0,2
116,0,0,0
117,2,0,2
118,2,0,2
119,2,0,2
120,0,0,0
121,2,0,2
122,0,0,0
123,2,0,2
124,2,0,2
125,0,0,0
126,2,0,2
127,0,0,0
128,0,0,0
129,0,0,0
130,0,0,0
131,2,0,2
132,2,0,2
133,0,0,0
134,2,0,2
135,2,0,2
136,0,0,0
137,2,0,2
138,2,9,2
139,0,0,0
140,0,0,0
141,0,0,0
142,0,0,0
143,0,0,0
144,0,0,0
145,2,0,2
146,2,0,2
147,0,0,0
148,2,0,2
149,2,0,2
150,0,0,0
151,0,0,0
152,2,0,2
153,0,0,0
154,2,0,2
